OBJECTID *	Shape *	GPS_Date	GPS_Time	Feat_Name	GNSS_Heigh	Northing	Easting	Point_ID
1	Point ZM	23/02/2017	10:35:27am	PosnPnt	574.028	5234595.139	1498925.997	1
2	Point ZM	23/02/2017	10:35:28am	PosnPnt	574.028	5234595.128	1498925.997	2
3	Point ZM	23/02/2017	10:35:29am	PosnPnt	574.028	5234595.127	1498925.989	3
4	Point ZM	23/02/2017	10:35:30am	PosnPnt	574.048	5234595.127	1498925.981	4
5	Point ZM	23/02/2017	10:35:31am	PosnPnt	574.028	5234595.094	1498925.989	5
6	Point ZM	23/02/2017	10:35:32am	PosnPnt	573.988	5234595.039	1498926.023	6
7	Point ZM	23/02/2017	10:35:33am	PosnPnt	573.948	5234594.973	1498926.064	7
8	Point ZM	23/02/2017	10:35:34am	PosnPnt	573.958	5234594.94	1498926.081	8
9	Point ZM	23/02/2017	10:35:35am	PosnPnt	573.938	5234594.929	1498926.089	9
10	Point ZM	23/02/2017	10:35:36am	PosnPnt	573.918	5234595.129	1498926.078	10
11	Point ZM	23/02/2017	10:35:37am	PosnPnt	573.948	5234595.636	1498925.843	11
12	Point ZM	23/02/2017	10:35:38am	PosnPnt	574.138	5234596.119	1498925.461	12
13	Point ZM	23/02/2017	10:35:39am	PosnPnt	574.238	5234596.218	1498925.378	13
14	Point ZM	23/02/2017	10:35:40am	PosnPnt	574.098	5234596.076	1498925.518	14
15	Point ZM	23/02/2017	10:35:41am	PosnPnt	574.038	5234596.01	1498925.568	15
16	Point ZM	23/02/2017	10:35:42am	PosnPnt	574.158	5234595.965	1498925.545	16
17	Point ZM	23/02/2017	10:35:43am	PosnPnt	574.168	5234595.566	1498925.624	17
18	Point ZM	23/02/2017	10:35:44am	PosnPnt	574.168	5234595.314	1498925.823	18
19	Point ZM	23/02/2017	10:35:45am	PosnPnt	574.138	5234595.427	1498925.976	19
20	Point ZM	23/02/2017	10:35:46am	PosnPnt	574.148	5234595.361	1498926.018	20
21	Point ZM	23/02/2017	10:35:47am	PosnPnt	574.138	5234595.173	1498926.045	21
22	Point ZM	23/02/2017	10:35:48am	PosnPnt	574.128	5234595.019	1498926.153	22
23	Point ZM	23/02/2017	10:35:49am	PosnPnt	574.078	5234594.897	1498926.155	23
24	Point ZM	23/02/2017	10:35:50am	PosnPnt	574.028	5234594.808	1498926.156	24
25	Point ZM	23/02/2017	10:35:51am	PosnPnt	573.918	5234594.72	1498926.198	25
26	Point ZM	23/02/2017	10:35:52am	PosnPnt	573.818	5234594.676	1498926.232	26
27	Point ZM	23/02/2017	10:35:53am	PosnPnt	573.748	5234594.654	1498926.265	27
28	Point ZM	23/02/2017	10:35:54am	PosnPnt	573.688	5234594.587	1498926.257	28
29	Point ZM	23/02/2017	10:35:55am	PosnPnt	573.638	5234594.498	1498926.243	29
30	Point ZM	23/02/2017	10:35:56am	PosnPnt	573.608	5234594.454	1498926.3	30
31	Point ZM	23/02/2017	10:35:57am	PosnPnt	573.618	5234594.456	1498926.382	31
32	Point ZM	23/02/2017	10:35:58am	PosnPnt	573.588	5234594.456	1498926.422	32
33	Point ZM	23/02/2017	10:35:59am	PosnPnt	573.548	5234594.534	1498926.421	33
34	Point ZM	23/02/2017	10:36:00am	PosnPnt	573.498	5234594.589	1498926.404	34
35	Point ZM	23/02/2017	10:36:01am	PosnPnt	573.488	5234594.533	1498926.356	35
